#t x y z vx vy vz
4.730400000000000000e+16 9.243320945963603208e+01 1.388553454317753904e+02 1.451192107244414942e+01 2.002173549915078752e+02 7.807707903271712269e+01 8.560494676638782607e+00
5.045760000000000000e+16 1.126242613598686404e+02 1.464572903892635907e+02 1.501743306467885652e+01 1.949061622255665327e+02 7.068719754559883484e+01 1.331990239656581920e+00
5.361120000000000000e+16 1.322808851206091276e+02 1.533596108838725627e+02 1.483826576686877807e+01 1.897590030829842362e+02 6.438596081510927149e+01 -4.838157884155662281e+00
5.676480000000000000e+16 1.514226474208711295e+02 1.596620706606436784e+02 1.407147842689322381e+01 1.848307153321116800e+02 5.894837988302192855e+01 -1.016728671703301146e+01
5.991840000000000000e+16 1.700729177169495472e+02 1.654443216112677817e+02 1.279468199191266820e+01 1.801408786614998689e+02 5.420587004568248091e+01 -1.481864767868447785e+01
6.307200000000000000e+16 1.882561278693122233e+02 1.707708549291466227e+02 1.107079403706482168e+01 1.756907038236103631e+02 5.003033268083176210e+01 -1.891652745598907615e+01
6.622560000000000000e+16 2.059963564621986620e+02 1.756945705097530777e+02 8.951478045895441937e+00 1.714720667190896677e+02 4.632303353300677173e+01 -2.255687336844191648e+01
6.937920000000000000e+16 2.233166249370927403e+02 1.802593800568008362e+02 6.479657976413911946e+00 1.674724039682113244e+02 4.300681478632764509e+01 -2.581476395918259925e+01
7.253280000000000000e+16 2.402385801220820269e+02 1.845021310113035611e+02 3.691380499735332776e+00 1.636773788128259071e+02 4.002059201261691612e+01 -2.874970395492826114e+01
7.568640000000000000e+16 2.567823866739723826e+02 1.884540481695578364e+02 6.172127004636607239e-01 1.600723230472587773e+02 3.731541876262893709e+01 -3.140941996618368748e+01
7.884000000000000000e+16 2.729667320670780555e+02 1.921418284950587463e+02 -2.716694991657472524e+00 1.566429975401846946e+02 3.485163524405514579e+01 -3.383261595631254437e+01
